1854;1854;DROGUERIA LOS VALLES DE CAFAM;BOGOTA;DG 91 SUR 2 C 23;;BOGOTÁ D.C.;DG 91 SUR 2 C 23
1855;1855;EXITO BUENA VISTA SANTAMARTA;MAGDALENA;DG QUINTA DE SAN PEDRO ALEJANDRINO;;SANTA MARTA;DG QUINTA DE SAN PEDRO ALEJANDRINO
1856;1856;CARULLA CAROLINA;BOGOTA;DIAG 127 A 14 30;;BOGOTÁ D.C.;DIAG 127 A 14 30
1857;1857;DROGAS SARY;BOGOTA;DIAG 45 F 16 54 SUR;;BOGOTÁ D.C.;DIAG 45 F 16 54 SUR
1858;1858;ACANET;BOYACA;ED ABRAHAM PINZON LC 103;;MONIQUIRÁ;ED ABRAHAM PINZON LC 103
1859;1859;DROGUERIA SAN SEBASTIAN;QUINDIO;ED EL NARANJAL 30 03 LC 101;;ARMENIA (QUINDIO);ED EL NARANJAL 30 03 LC 101
1860;1860;CSTORE 3;BOLIVAR;ED MORRO 3 VI AL MAR;;CARTAGENA;ED MORRO 3 VI AL MAR
1861;1861;CARULLA BOCA GRANDE;BOLIVAR;ED SEGUROS BOLIVAR BOCAGRANDE;;CARTAGENA;ED SEGUROS BOLIVAR BOCAGRANDE
1862;1862;COMPRAVENTA OROSOL;BOLIVAR;EL BIFFI DG 31 71 39;;CARTAGENA;EL BIFFI DG 31 71 39
1863;1863;COMPRAVENTA MIRAMAR;BOLIVAR;EL BIFFI DG 31 71 39 LC 2;;CARTAGENA;EL BIFFI DG 31 71 39 LC 2
1864;1864;ESTACION DE SERVICIO NORMANDIA LIMITADA;CALDAS;ESTACION URIBE;;MANIZALES;ESTACION URIBE
1865;1865;DROGAS TOLIMA;BOYACA;FRENTE A LA PLAZA DE MERCADO;;MUZO;FRENTE A LA PLAZA DE MERCADO
1866;1866;COOGUASIMALES CENABASTOS;NORTE DE SANTANDER;GALPON AZUL LC B 98;;CÚCUTA;GALPON AZUL LC B 98
1867;1867;ALMACEN DE COMPRA VENTA EL GOLFO;BOLIVAR;GAVIOTAS CC LA HEROICA LC 5;;CARTAGENA;GAVIOTAS CC LA HEROICA LC 5
1868;1868;BJ HENAO;ANTIOQUIA;GLORIETA AEROPUERTO JMC;;RIONEGRO (ANT);GLORIETA AEROPUERTO JMC
1869;1869;MERCADOS Y ALGO MAS LA GLORIETA;ANTIOQUIA;GT AEROPUERTO J M C;;RIONEGRO (ANT);GT AEROPUERTO J M C
1870;1870;DROGAS COPIFAM;TOLIMA;JARDIN 5TA AVDA MZ A CS 3;;IBAGUÉ;JARDIN 5TA AVDA MZ A CS 3
1871;1871;BONANZA 2000 AGROPECUARIA LTDA LA YE;NORTE DE SANTANDER;KDX 16 COM - LA Y a una hora del Zulia;;EL ZULIA;KDX 16 COM - LA Y a una hora del Zulia
1872;1872;BONANZA LA FORESTA;NORTE DE SANTANDER;KDX 8 4 A LA FLORESTA MZ 30 LT 004 - DESPUES DEL CASERIO AGUABLANCA;;CÚCUTA;KDX 8 4 A LA FLORESTA MZ 30 LT 004 - DESPUES DEL CASERIO AGUABLANCA
1873;1873;CITYNETLYF;SUCRE;KM 1 CT TRONCAL VIA COVEÑAS LORICA;;COVEÑAS;KM 1 CT TRONCAL VIA COVEÑAS LORICA
1874;1874;CMAR LTDA;CUNDINAMARCA;KM 1 VI CHIA COTA;;CHÍA;KM 1 VI CHIA COTA
1875;1875;ÉXITO EXPRESS VARIANTE;ANTIOQUIA;KM 1 VT CALDAS;;CALDAS (ANT);KM 1 VT CALDAS
1876;1876;DOLPHINS PLUS S.A.;ANTIOQUIA;KM 14 VI LAS PALMAS;;MEDELLIN;KM 14 VI LAS PALMAS
1877;1877;CHUSACA EXPRESS AUTOSERVICIO;CUNDINAMARCA;KM 15 AU SUR;;SIBATÉ;KM 15 AU SUR
1878;1878;MERCALOTERIAS JAMUNDI;VALLE DEL CAUCA;KM 2 VI CHIPAYA / CL 2 22 117 LA 14 ALFAGUARA;;JAMUNDÍ;KM 2 VI CHIPAYA / CL 2 22 117 LA 14 ALFAGUARA
1879;1879;ESTACION MOBIL COTTOLENGO;VALLE DEL CAUCA;KM 2 VI JAMUNDI POPAYAN;;JAMUNDÍ;KM 2 VI JAMUNDI POPAYAN
1880;1880;MERCALOTERIAS LA 14 PALMIRA;VALLE DEL CAUCA;KM 2 VI LAS PALMAS;;PALMIRA;KM 2 VI LAS PALMAS
1881;1881;CHORIPINES TIENDA LA ESTACION;CUNDINAMARCA;KM 3 VI FUNZA SIBERIA;;FUNZA;KM 3 VI FUNZA SIBERIA
1882;1882;DROGUERIA LLANO GRANDE T G;ANTIOQUIA;KM 3 VI LLANO GRANDE;;RIONEGRO (ANT);KM 3 VI LLANO GRANDE
1883;1883;LFVR COMBUSTIBLES Y CONSTRUCCIONES;VALLE DEL CAUCA;KM 30 ESTACION DE SERVICIO EXXON MOBIL;;DAGUA;KM 30 ESTACION DE SERVICIO EXXON MOBIL
1884;1884;E S TEXACO TOCANCIPA EU;CUNDINAMARCA;KM 37 AU NORTE;;TOCANCIPÁ;KM 37 AU NORTE
1885;1885;DROGUERIA Y MISCELANEA LAS ROSAS;HUILA;KM 4 PASANDO LA CAM;;PITALITO;KM 4 PASANDO LA CAM
1886;1886;ESTACION DE SERVICIO BRIO PATIOS;BOGOTA;KM 6 VI LA CALERA;;BOGOTÁ D.C.;KM 6 VI LA CALERA
1887;1887;CARNES Y GRANOS MEDELLIN;RISARALDA;KM 6 VI MARSELLA;;PEREIRA;KM 6 VI MARSELLA
1888;1888;EXITO EXPRESS SIBERIA;CUNDINAMARCA;KM 6 VI SIBERIA COTA COSTADO OCCIDENTAL;;COTA;KM 6 VI SIBERIA COTA COSTADO OCCIDENTAL
1889;1889;MEGA MARKET LA VICTORIA;SANTANDER;KM 8 VI SOCORRO SAN GIL;;SOCORRO;KM 8 VI SOCORRO SAN GIL
1890;1890;CARULLA LLANO GRANDE;ANTIOQUIA;KM 8.5 CE;;RIONEGRO (ANT);KM 8.5 CE
1891;1891;ESTACION DE SERVICIOS AUTOMOTRIZ EL TREBOL;MAGDALENA;KM 9 TRONCAL DEL CARIBE;;SANTA MARTA;KM 9 TRONCAL DEL CARIBE
1892;1892;COMERCIALIZADORA GIRALDO Y GOMEZ Y CIA SA;RISARALDA;KM10 VI CEDRITOS;;PEREIRA;KM10 VI CEDRITOS
1893;1893;LUNANET CHIA 2;CUNDINAMARCA;KR 11 11 13;;CHÍA;KR 11 11 13
1894;1894;LUNANET DE CHIA;CUNDINAMARCA;KR 11 11 13;;CHÍA;KR 11 11 13
1895;1895;CONTACTO GLOBAL D Y C;ANTIOQUIA;KR 20 19 13 13;;YARUMAL;KR 20 19 13 13
1896;1896;MARIA CONSUELO MONTES;VALLE DEL CAUCA;KR 22 1 63;;CALI;KR 22 1 63
1897;1897;MAS DESCUENTOS;BOYACA;KR 22 25 05;;PAIPA;KR 22 25 05
1898;1898;LOCATEL EL TESORO;ANTIOQUIA;KR 25 A 1 A SUR 45 LC 8110;;MEDELLIN;KR 25 A 1 A SUR 45 LC 8110
1899;1899;MEGA MARKET LA RIVIERA;SANTANDER;KR 27 42 570 KR UCE ANILLO VIAL FLORIDABLANCA;;FLORIDABLANCA;KR 27 42 570 KR UCE ANILLO VIAL FLORIDABLANCA
1900;1900;LUBRICANTES LA CASONA;VALLE DEL CAUCA;KR 27 A 96 102;;CALI;KR 27 A 96 102
1901;1901;MAGISTRAL INVERSIONES LTDA;CHOCO;KR 3 A 24 A 38;;QUIBDO;KR 3 A 24 A 38
1902;1902;LICORES Y CIGARRERIA BLANCO Y NEGRO;BOGOTA;KR 3 A 56 41;;BOGOTÁ D.C.;KR 3 A 56 41
1903;1903;MAXIDROGAS GUATAPE;META;KR 38 C 27 23 SUR;;VILLAVICENCIO;KR 38 C 27 23 SUR
1904;1904;METRO LLANOCENTRO;META;KR 39 C 29 C 15;;VILLAVICENCIO;KR 39 C 29 C 15
1905;1905;LOCATEL MEDELLIN;ANTIOQUIA;KR 43 9 SUR 45;;MEDELLIN;KR 43 9 SUR 45
1906;1906;METALICAS MAY PEREZ;VALLE DEL CAUCA;KR 44 15 30;;CALI;KR 44 15 30
1907;1907;DROGUERIA PICHINCHA;ANTIOQUIA;KR 45 47 84;;MEDELLIN;KR 45 47 84
1908;1908;DROGUERIA PICHINCHA 2;ANTIOQUIA;KR 45 47 84;;MEDELLIN;KR 45 47 84
1909;1909;BOTICA JUNIN NO 3 CLINICA;ANTIOQUIA;KR 46 50 54;;MEDELLIN;KR 46 50 54
1910;1910;MERCADOS LA POMPA;ANTIOQUIA;KR 58 78 44 LC 101;;ITAGÜI;KR 58 78 44 LC 101
1911;1911;MERCERIAS LAS MANTAS;LA GUAJIRA;KR 6 9 25;;RIOHACHA;KR 6 9 25
1912;1912;MEGAMAS CALIFORNIA;ATLANTICO;KR 6 H 91 06;;BARRANQUILLA;KR 6 H 91 06
1913;1913;MERCADEAS;BOGOTA;KR 7 103 03 BRIGADA 13;;BOGOTÁ D.C.;KR 7 103 03 BRIGADA 13
1914;1914;FARMACIA PASTEUR CR 70;ANTIOQUIA;KR 70 CIRC 2-11;;MEDELLIN;KR 70 CIRC 2-11
1915;1915;LUMA DROGAS TIMIZA;BOGOTA;KR 74 40 20 SUR;;BOGOTÁ D.C.;KR 74 40 20 SUR
1916;1916;LUMA DROGAS TIMIZA 2;BOGOTA;KR 74 40 20 SUR;;BOGOTÁ D.C.;KR 74 40 20 SUR
1917;1917;LOS MEDICAMENTOS DROGUERIA;ANTIOQUIA;KR 76 32 79;;MEDELLIN;KR 76 32 79
1918;1918;MERCADOS SPEEDY GONZALEZ;ANTIOQUIA;KR 79 2 SUR 1 117;;MEDELLIN;KR 79 2 SUR 1 117
1919;1919;MERCADOS ANTIOQUEÑITA;ANTIOQUIA;KR 84 63 84;;MEDELLIN;KR 84 63 84
1920;1920;MAS DESCUENTOS DROGUERIA NOBSA;BOYACA;KR 9 6 48 LC P 1;;NOBSA;KR 9 6 48 LC P 1
1921;1921;MASTERCOPIAS;VALLE DEL CAUCA;KR 9 8 40;;CALI;KR 9 8 40
1922;1922;METRO BOSA CENTRO DE RECAUDO II;BOGOTA;KR 92 60 90 SUR;;BOGOTÁ D.C.;KR 92 60 90 SUR
1923;1923;METRO BOSA CENTRO DE RECAUDO;BOGOTA;KR 92 90 60 BOSA;;BOGOTÁ D.C.;KR 92 90 60 BOSA
1924;1924;DROGUERIA OPTIMA;ANTIOQUIA;KR 07 06 77;;SONSON;KR 07 06 77
1925;1925;DROGUERIA VILLA DEL ABURRA;ANTIOQUIA;KR 081 032 052;;MEDELLIN;KR 081 032 052
1926;1926;FARMACIA MAGISTRAL N 2;CHOCO;KR 1 31 52;;QUIBDO;KR 1 31 52
1927;1927;DROGAS COPIFAM;TOLIMA;KR 1 1 101;;IBAGUÉ;KR 1 1 101
1928;1928;EXITO EXPRESS LAS VELAS;BOLIVAR;KR 1 1 A 10 ED PARQUE CIAL EL LAGUITO LC 1 19;;CARTAGENA;KR 1 1 A 10 ED PARQUE CIAL EL LAGUITO LC 1 19
1929;1929;DROGAS COPIFAM;TOLIMA;KR 1 14 85 EQ;;IBAGUÉ;KR 1 14 85 EQ
1930;1930;APUESTAS MARTHA LUCIA MEGACENTRO;VALLE DEL CAUCA;KR 1 18 19;;CALI;KR 1 18 19
1931;1931;DROGUERIA DA SALUD N.2 REVENTONES;CUNDINAMARCA;KR 1 2 12 VEREDA REVENTONES;;ANOLAIMA;KR 1 2 12 VEREDA REVENTONES
1932;1932;BOUTIQUE YIRE;HUILA;KR 1 33 47;;NEIVA;KR 1 33 47
1933;1933;DROGUERIA CORPSALUD N 3;VALLE DEL CAUCA;KR 1 35 26;;PALMIRA;KR 1 35 26
1934;1934;JER TUNJA NORTE UNICENTRO;BOYACA;KR 1 40 22;;TUNJA;KR 1 40 22
1935;1935;CENTRON SERVICIOS IRIS NO. 3;VALLE DEL CAUCA;KR 1 56 20;;CALI;KR 1 56 20
1936;1936;JL SEGUROS;VALLE DEL CAUCA;KR 1 62 A 50;;CALI;KR 1 62 A 50
1937;1937;ALMACEN COMPRAVENTA PLATINO BUGA;VALLE DEL CAUCA;KR 1 8 105;;BUGA;KR 1 8 105
1938;1938;CLUB ACADEMIA DE AJEDREZ LOS MAESTROS;VALLE DEL CAUCA;KR 1 8 86;;CALI;KR 1 8 86
1939;1939;DROGUERIA LA DIOSA;CUNDINAMARCA;KR 1 A 30 20;;CHÍA;KR 1 A 30 20
1940;1940;DROGUERIA VIDA SANA MJS;CUNDINAMARCA;KR 1 A ESTE 31 47 SOACHA;;SOACHA;KR 1 A ESTE 31 47 SOACHA
1941;1941;DROG. Y VARIE. VILLAS DE VERACRUZ;VALLE DEL CAUCA;KR 1 B 58 39;;CALI;KR 1 B 58 39
1942;1942;ALMACEN DE COMPRA VENTA LA CIUDADELA;ATLANTICO;KR 1 C 2 47 04;;BARRANQUILLA;KR 1 C 2 47 04
1943;1943;DROGUERIA ACUÑA TUNJA NORTE;BOYACA;KR 1 C 32 12 EQ LC 1;;TUNJA;KR 1 C 32 12 EQ LC 1
1944;1944;IMPRESOS GRAFICOS;ANTIOQUIA;KR 1 CL 50 50 27;;PUERTO BERRIO;KR 1 CL 50 50 27
1945;1945;MERCALOTERIAS CALIMA II;VALLE DEL CAUCA;KR 1 CL 70 CE 14 CALIMA;;CALI;KR 1 CL 70 CE 14 CALIMA
1946;1946;MERCALOTERIAS CENTRO ESPECIALIZADO;VALLE DEL CAUCA;KR 1 CL 70 CE LA 14 CALIMA;;CALI;KR 1 CL 70 CE LA 14 CALIMA
1947;1947;LO QUE QUIERA.COM CALIMA;VALLE DEL CAUCA;KR 1 CL 70 LC 2-215 CE CALIMA CALI;;CALI;KR 1 CL 70 LC 2-215 CE CALIMA CALI
1948;1948;CALI RECARGAS SL;VALLE DEL CAUCA;KR 1 D 70 13;;CALI;KR 1 D 70 13
1949;1949;ALMACEN CV METROPOLITANO;ATLANTICO;KR 1 E 45 68;;BARRANQUILLA;KR 1 E 45 68
1950;1950;GRANERO LAS NUEVAS AMERICAS;VALLE DEL CAUCA;KR 1 E 47 07;;CALI;KR 1 E 47 07
1951;1951;GANALOTO;VALLE DEL CAUCA;KR 1 TV 32;;PALMIRA;KR 1 TV 32
1952;1952;COMUNICACONES AL OIDO DEL CLIENTE;SANTANDER;KR 1 W 1 NA 05 LC 02;;PIEDECUESTA;KR 1 W 1 NA 05 LC 02
1953;1953;HIPERDROGUERIA COLDESCUENTO;META;KR 10 10 04;;PUERTO GAITÁN;KR 10 10 04
1954;1954;ABASTOS UNICO;MAGDALENA;KR 10 10 17 MERCADO;;SANTA MARTA;KR 10 10 17 MERCADO
1955;1955;COMPRA VENTA LA PLAZA;MAGDALENA;KR 10 10 23;;PIVIJAY;KR 10 10 23
1956;1956;DROGUERIA FAMILIAR EDDY;ANTIOQUIA;KR 10 10 28;;MUTATA;KR 10 10 28
1957;1957;DROGAS DEL NORTE;CASANARE;KR 10 10 71;;PAZ DE ARIPORO;KR 10 10 71
1958;1958;DROGUERIA GOMEZ R 3;CUNDINAMARCA;KR 10 10 A 09;;MOSQUERA (CUNDI);KR 10 10 A 09
1959;1959;DROGUERIA AZTECA 1;BOGOTA;KR 10 108 00;;BOGOTÁ D.C.;KR 10 108 00
1960;1960;INVERSIONES CAFE ESTANQUILLO;ANTIOQUIA;KR 10 11 03 BR SAN ANTONIO PRADO;;MEDELLIN;KR 10 11 03 BR SAN ANTONIO PRADO
1961;1961;DROGUERIA COPIFULL 1;CUNDINAMARCA;KR 10 11 16;;ZIPAQUIRA;KR 10 11 16
1962;1962;FANTASIAS ARTUBIN;BOGOTA;KR 10 11 23 LC 300;;BOGOTÁ D.C.;KR 10 11 23 LC 300
1963;1963;FOTOPAPELERIA NARVAEZ;VALLE DEL CAUCA;KR 10 11 56;;JAMUNDÍ;KR 10 11 56
1964;1964;DROGAS ECONOMICAS;VALLE DEL CAUCA;KR 10 11 71;;CALI;KR 10 11 71
1965;1965;DROGUERIA LA EXITOSA;BOYACA;KR 10 11 86;;VILLA DE LEYVA;KR 10 11 86
1966;1966;EXITO GIRARDOT;CUNDINAMARCA;KR 10 12 01;;GIRARDOT;KR 10 12 01
1967;1967;AUTOSERVICIO GUALANDAY SAS;VALLE DEL CAUCA;KR 10 13 69 VILLAGORGONA;;CANDELARIA (VALLE);KR 10 13 69 VILLAGORGONA
1968;1968;FERRETERIA WILSON;VALLE DEL CAUCA;KR 10 14 03;;RESTREPO (VALLE);KR 10 14 03
1969;1969;AUTOSERVICIO YEYI;CUNDINAMARCA;KR 10 14 37;;ZIPAQUIRA;KR 10 14 37
1970;1970;EXITO PEREIRA;RISARALDA;KR 10 14 71;;PEREIRA;KR 10 14 71
1971;1971;EXITO PEREIRA;RISARALDA;KR 10 14 71;;PEREIRA;KR 10 14 71
1972;1972;DROGAS OCCIDENTE CHIQUINQUIRA;BOYACA;KR 10 14 98;;CHIQUINQUIRÁ;KR 10 14 98
1973;1973;AUTOSERVICIO MERKOVIOTA;CUNDINAMARCA;KR 10 16 17;;VIOTÁ;KR 10 16 17
1974;1974;APUESTAS UNIDAS DEL CAQUETA CR 10;CAQUETA;KR 10 16 74;;FLORENCIA (CAQUETA);KR 10 16 74
1975;1975;DROGUERIA ANDINA;BOYACA;KR 10 17 02;;CHIQUINQUIRÁ;KR 10 17 02
1976;1976;JER TUNJA SUR DECIMA;BOYACA;KR 10 17 25;;TUNJA;KR 10 17 25
1977;1977;DROGUERIA SOCIAL # 29;BOGOTA;KR 10 17 27;;BOGOTÁ D.C.;KR 10 17 27
1978;1978;COOSERVICIOS LTDA;BOYACA;KR 10 17 57;;TUNJA;KR 10 17 57
1979;1979;DON SALUDERO NORENA;RISARALDA;KR 10 18 05;;PEREIRA;KR 10 18 05
1980;1980;DROGUERIA MADRID;BOYACA;KR 10 18 90;;TUNJA;KR 10 18 90
1981;1981;DROGAS ECONOMICAS PARRA;BOGOTA;KR 10 20 79 SUR;;BOGOTÁ D.C.;KR 10 20 79 SUR
1982;1982;JER TUNJA NORTE CAMOL;BOYACA;KR 10 21 04;;TUNJA;KR 10 21 04
1983;1983;DROGUERIA CHINQUINQUIRA BOYACA;BOYACA;KR 10 22 42;;CHIQUINQUIRÁ;KR 10 22 42
1984;1984;DROGUERIA NUEVA YANETH;BOYACA;KR 10 22 49;;TUNJA;KR 10 22 49
1985;1985;DROGAS LETY;BOGOTA;KR 10 24 67 SUR;;BOGOTÁ D.C.;KR 10 24 67 SUR
1986;1986;DROGUERIA LAS NIEVES;BOYACA;KR 10 25 89;;TUNJA;KR 10 25 89
1987;1987;FOTO EXPRESS DIGITAL LTDA;BOGOTA;KR 10 27 51 LC 164;;BOGOTÁ D.C.;KR 10 27 51 LC 164
1988;1988;EXPRESS 26;BOGOTA;KR 10 27 51 LC 179;;BOGOTÁ D.C.;KR 10 27 51 LC 179
1989;1989;DROGUERIA SUPER 7;BOYACA;KR 10 3 15;;SOCHA;KR 10 3 15
1990;1990;CASA COMERCIAL LOS ANDRES C M;BOGOTA;KR 10 3 44 SUR;;BOGOTÁ D.C.;KR 10 3 44 SUR
1991;1991;BIO-PHARMA LOGISTICA FARMACEUTICA LTDA;BOYACA;KR 10 31 17 LC 2;;TUNJA;KR 10 31 17 LC 2
1992;1992;BELEN COMUNICACIONES;TOLIMA;KR 10 4 A 31;;IBAGUÉ;KR 10 4 A 31
1993;1993;DROGAS LA PRINCIPAL CHIA NO 2;CUNDINAMARCA;KR 10 5 08;;CHÍA;KR 10 5 08
1994;1994;DE TODO A 5.000;CALDAS;KR 10 5 13;;NEIRA;KR 10 5 13
1995;1995;DROGUERIA SUPERDESCUENTOS DE LA SABANA;CUNDINAMARCA;KR 10 5 A 75;;CHÍA;KR 10 5 A 75
1996;1996;DROGUERIA PHARMAPAZ;CAUCA;KR 10 54 N BIS 33;;POPAYÁN;KR 10 54 N BIS 33
1997;1997;DROGUERIA COPIFULL 2;CUNDINAMARCA;KR 10 6 69;;ZIPAQUIRA;KR 10 6 69
1998;1998;DROGUERIA PRODROGAS;RISARALDA;KR 10 6 74;;PEREIRA;KR 10 6 74
1999;1999;DROGAS COPIFAM N 4;CUNDINAMARCA;KR 10 7 A 42;;FUSAGASUGÁ;KR 10 7 A 42
2000;2000;CIGARRERIA LOS TRES PINOS;BOGOTA;KR 10 72 04;;BOGOTÁ D.C.;KR 10 72 04
2001;2001;DISTRIBUCIONES LA DECIMA;HUILA;KR 10 8 22;;GARZÓN;KR 10 8 22
2002;2002;DROGUERIA SUPER DESCUENTOS SUC NO 3;CUNDINAMARCA;KR 10 8 54;;CHÍA;KR 10 8 54
2003;2003;DROGUERIAS COPIFULL 3;CUNDINAMARCA;KR 10 8 A 41;;ZIPAQUIRA;KR 10 8 A 41
2004;2004;LIBRERIA Y PAPELERIA POMBO N 2 ZIPAQUIRA;CUNDINAMARCA;KR 10 8 A 44;;ZIPAQUIRA;KR 10 8 A 44
2005;2005;LIBRERIA Y PAPELERIA POMBO N 2 ZIPAQUIRA;CUNDINAMARCA;KR 10 8 A 55;;ZIPAQUIRA;KR 10 8 A 55
2006;2006;DROGUERIA SEMBRANDO VIDA;RISARALDA;KR 10 9 18;;MARSELLA;KR 10 9 18
2007;2007;DROECO DROGAS ECONOMICAS SAN FERNANDO;VALLE DEL CAUCA;KR 10 9 92;;CALI;KR 10 9 92
2008;2008;METRO 20 DE JULIO;BOGOTA;KR 10 A 30 B 20 SUR;;BOGOTÁ D.C.;KR 10 A 30 B 20 SUR
2009;2009;METRO 20 DE JULIO CENTRO DE RECAUDO;BOGOTA;KR 10 A 30 B 20 SUR;;BOGOTÁ D.C.;KR 10 A 30 B 20 SUR
2010;2010;METRO 20 DE JULIO II;BOGOTA;KR 10 A 30 B 20 SUR;;BOGOTÁ D.C.;KR 10 A 30 B 20 SUR
2011;2011;CARULLA QUINTA CAMACHO;BOGOTA;KR 10 A 70 37;;BOGOTÁ D.C.;KR 10 A 70 37
2012;2012;DROGUERIA Y MISCELANEA MI LLANURA;META;KR 10 A 8 04;;VILLAVICENCIO;KR 10 A 8 04
2013;2013;EL PUNTO DE SU SALUD;SANTANDER;KR 10 E 67 42;;BUCARAMANGA;KR 10 E 67 42
2014;2014;DR SMITH;CUNDINAMARCA;KR 10 ESTE 19 81;;SOACHA;KR 10 ESTE 19 81
2015;2015;DROGAS Y VARIEDADES DIMAYER;BOGOTA;KR 10 H 53 00 SUR;;BOGOTÁ D.C.;KR 10 H 53 00 SUR
2016;2016;DROGUERIA Y PERFUMERIA FELIX;SANTANDER;KR 10 OCCIDENTE 45 A 04;;BUCARAMANGA;KR 10 OCCIDENTE 45 A 04
2017;2017;EXITO APARTADO;ANTIOQUIA;KR 100 101 39 CE PLAZA DEL RIO;;APARTADO;KR 100 101 39 CE PLAZA DEL RIO
2018;2018;CARULLA HOLGUINES TRADE CENTER;VALLE DEL CAUCA;KR 100 11 60 LC 179;;CALI;KR 100 11 60 LC 179
2019;2019;DRUGS - DROGUERIA Y PERFUMERIA;BOGOTA;KR 100 137 A 06;;BOGOTÁ D.C.;KR 100 137 A 06
2020;2020;COMUNICACIONES J A;BOGOTA;KR 100 16 A 41 LC 3;;BOGOTÁ D.C.;KR 100 16 A 41 LC 3
2021;2021;DROGUERIA FONTI FARMA;BOGOTA;KR 100 16 D 05;;BOGOTÁ D.C.;KR 100 16 D 05
2022;2022;CENTRO DE SERVICIOS INTERNET Y TELECOMUNICACIONES;BOGOTA;KR 100 16 H 56 LC 4;;BOGOTÁ D.C.;KR 100 16 H 56 LC 4
2023;2023;CENTRO DE SERVICIOS INTERNET Y TELECOMUNICACIONES;BOGOTA;KR 100 16 H 56 LC 4;;BOGOTÁ D.C.;KR 100 16 H 56 LC 4
2024;2024;DROGAS COLOMBIA FARMA SUCURSAL FONTIBON PARQUE;BOGOTA;KR 100 17 A 95;;BOGOTÁ D.C.;KR 100 17 A 95
2025;2025;DROGAS DON SALUDERO NO.11;BOGOTA;KR 100 22 57;;BOGOTÁ D.C.;KR 100 22 57
2026;2026;DROGUERIA FARMA 100;BOGOTA;KR 100 23 90;;BOGOTÁ D.C.;KR 100 23 90
2027;2027;DROGUERIA FARMA 100 2;BOGOTA;KR 100 23 90;;BOGOTÁ D.C.;KR 100 23 90
2028;2028;DROGUERIA OFIR;BOGOTA;KR 100 25A 23 BR FONTIBON;;BOGOTÁ D.C.;KR 100 25A 23 BR FONTIBON
2029;2029;DROGUERIA EL CARMELO;ANTIOQUIA;KR 100 43 02;;MEDELLIN;KR 100 43 02
2030;2030;APUESTAS ML UNICENTRO;VALLE DEL CAUCA;KR 100 5 169;;CALI;KR 100 5 169
2031;2031;APUESTAS MARTHA LUCIA UNICENTRO 2;VALLE DEL CAUCA;KR 100 5 169 LC 611;;CALI;KR 100 5 169 LC 611
2032;2032;CELLGUAY COMUNICACIONES 3;ANTIOQUIA;KR 100 95 19;;APARTADO;KR 100 95 19
2033;2033;BOTICA JUNIN N. 45;ANTIOQUIA;KR 100 96 76 CENTRO APARTADO;;APARTADO;KR 100 96 76 CENTRO APARTADO
2034;2034;BOTICA JUNIN CHIGORODO;ANTIOQUIA;KR 100 96 A 15;;CHIGORODO;KR 100 96 A 15
2035;2035;DROGUERIA FATIMA MEJIA Y MEJIA & CIA LTDA;ANTIOQUIA;KR 100 98 32;;APARTADO;KR 100 98 32
2036;2036;COMUNICACIOES ALAMEDA DEL RIO 2;BOGOTA;KR 100 A 61 15 SUR MZ 6 CS 13;;BOGOTÁ D.C.;KR 100 A 61 15 SUR MZ 6 CS 13
2037;2037;DROGUERIA ARISTOS;BOGOTA;KR 100 B 75 D 31;;BOGOTÁ D.C.;KR 100 B 75 D 31
2038;2038;FARMACIA PASTEUR APARTADO;ANTIOQUIA;KR 100 CL 103 LC 118;;APARTADO;KR 100 CL 103 LC 118
2039;2039;MERQUEFACIL SAN JAVIER;ANTIOQUIA;KR 101 42 17;;MEDELLIN;KR 101 42 17
2040;2040;CIGARRERIA MANA DE TIERRA GRATA;BOGOTA;KR 101 70 55 LC 9;;BOGOTÁ D.C.;KR 101 70 55 LC 9
2041;2041;CIGARRERIA MANA DE TIERRA GRATA 2;BOGOTA;KR 101 70 55 LC 9;;BOGOTÁ D.C.;KR 101 70 55 LC 9
2042;2042;ELECTRICOS Y CAPILARES SA;BOGOTA;KR 101 71 B 23 LC 1;;BOGOTÁ D.C.;KR 101 71 B 23 LC 1
2043;2043;DROGUERIA NELSALUD;BOGOTA;KR 101 71 B 42;;BOGOTÁ D.C.;KR 101 71 B 42
2044;2044;DROGAS CLASICA;BOGOTA;KR 101 A 152 A 30 CS 13;;BOGOTÁ D.C.;KR 101 A 152 A 30 CS 13
2045;2045;DROGUERIA UNIBACATA;BOGOTA;KR 101 A 152 A 39 CS 167;;BOGOTÁ D.C.;KR 101 A 152 A 39 CS 167
2046;2046;ACUARIO S;BOGOTA;KR 102 70 50 CS 132;;BOGOTÁ D.C.;KR 102 70 50 CS 132
2047;2047;DROGUERIA GALILEA;BOGOTA;KR 102 80 77 LC 7;;BOGOTÁ D.C.;KR 102 80 77 LC 7
2048;2048;DROGUERIA UNIBACATA A.L;BOGOTA;KR 102 B 151 15 LC 4;;BOGOTÁ D.C.;KR 102 B 151 15 LC 4
2049;2049;DROGAS MARBELCO;BOGOTA;KR 103 A 78 16;;BOGOTÁ D.C.;KR 103 A 78 16
2050;2050;@COMUNICACIONES J. E.;BOGOTA;KR 103 B 152 C 07 LC 3;;BOGOTÁ D.C.;KR 103 B 152 C 07 LC 3
2051;2051;DROGUERIA C M O;BOGOTA;KR 103 C 137 20;;BOGOTÁ D.C.;KR 103 C 137 20
